category_id,category_name
CTG001,หมวดศึกษาทั่วไป
CTG002,หมวดวิชาภาษา 
CTG003,หมวดวิชาศึกษาทั่วไปแบบเลือก 2หน่วย
CTG004,หมวดวิชาเฉพาะ
CTG005,หมวดวิชาโปรเจค + สัมนา (เทอมสุดท้ายของการศึกษา)
CTG006,หมวดวิชาโปรเจค + สัมนา (เทอมสุดท้ายของการศึกษา)(โท)
CTG007,หมวดวิชาเลือก
CTG008,หมวดวิชาCoop
CTG009,หมวดวิชาวิเคราะห์ข้อมูล
CTG010,หมวดวิชา DE
CTG011,หมวดวิชา ES
CTG012,หมวดเลือกนอกหลักสูตร ES+BIDA
CTG013,หมวดวิชา BIDA
CTG014,หมวดวิชา IS
CTG015,ชุดวิชาพิเศษเกี่ยวกับเทคโนโลยีสารสนเทศ 1
CTG016,ชุดวิชาพิเศษเกี่ยวกับเทคโนโลยีสารสนเทศ 2
CTG017,ชุดวิชาพิเศษเกี่ยวกับเทคโนโลยีสารสนเทศ 3
CTG018,กลุ่มวิชาสหกิจศึกษา  
