subject_id,year
202108,1
202109,1
202201,1
202202,1
202203,1
202207,2
213101,1
213102,1
213103,1
213104,3
234011,1
234012,1
234013,1
234021,1
234022,1
234023,4
234031,1
234032,1
234033,4
203324,2
203325,2
234043,4
234991,4
234992,4
234993,4
205305,2
205306,2
205307,3
205381,1
205384,1
205387,1
205382,2
205385,2
205388,2
205383,3
205386,3
205395,3
205492,3
205493,3
234251,1
234252,1
234051,1
234052,2
234053,3
234061,1
234062,2
234063,3
234071,1
234072,2
234073,3
234081,1
234082,2
234083,3
234112,2
234121,3
234122,3
234131,3
234132,3
234151,3
234152,3
234161,3
234162,3
234091,2
234092,2
234101,2
234102,2
234111,2
234141,1
234142,1
234171,1
234172,2
234181,1
234182,1
234191,1
234192,3
234201,2
234202,3
234231,3
234241,3
234271,2
234272,2
234211,2
234212,2
234221,3
234222,2
234232,2
234242,3
234261,3
234262,2
234281,2
234282,3
234291,3
234292,3
234301,3
234302,2
234311,3
234312,2
234321,1
234322,1
234331,3
234332,2
234341,2
234342,3
234351,3
234352,3
234361,3
234362,3
204490,3
204491,3
204492,3
204493,3
